uid	username	nodes	cur nodes	ways	cur ways	relations	cur rels	first	last	days active	total edits	current objects	avg edits/day
144329	wgiedtj	10	4	6	0	0	0	10/31/2009	10/31/2009	1	16	4	16
63375	Divjo	0	0	0	0	16	0	12/24/2008	01/03/2009	10	16	0	1.6
37444	ijsb	0	0	5	4	11	0	11/30/2009	09/05/2011	645	16	4	0.024806201550387597
1337	OJW	9	1	7	0	0	0	07/13/2009	07/13/2009	1	16	1	16
112502	woj	10	4	6	3	0	0	06/01/2010	06/01/2010	1	16	7	16
76046	samsul	13	0	3	0	0	0	10/28/2008	10/28/2008	1	16	0	16
72700	daswaldhorn	0	0	0	0	16	0	12/18/2008	08/12/2011	967	16	0	0.016546018614270942
467436	Wimbakker	11	11	5	5	0	0	06/08/2011	06/08/2011	1	16	16	16
57971	Vithar	0	0	16	0	0	0	08/07/2008	08/07/2008	1	16	0	16
31605	hatzfeld	0	0	0	0	16	0	08/11/2008	02/28/2009	201	16	0	0.07960199004975124
448029	Volucris	9	9	6	4	0	0	05/09/2011	05/09/2011	1	15	13	15
26139	dieterdreist	1	1	0	0	14	0	07/17/2009	11/22/2010	494	15	1	0.030364372469635626
32786	Netzwolf	0	0	0	0	15	0	08/30/2008	02/28/2010	548	15	0	0.02737226277372263
8030	rduivenvoorde	14	12	1	0	0	0	05/20/2007	06/21/2007	32	15	12	0.46875
30059	itserik	0	0	0	0	15	0	11/16/2010	11/16/2010	1	15	0	15
55462	Lübeck	0	0	0	0	15	0	04/06/2009	04/26/2010	385	15	0	0.03896103896103896
2680	xylome	3	0	4	4	8	0	07/17/2009	07/14/2011	727	15	4	0.02063273727647868
78656	Walter Schlögl	15	8	0	0	0	0	02/25/2010	10/30/2010	248	15	8	0.06048387096774194
127170	Ilis	0	0	0	0	15	0	06/03/2009	11/10/2010	526	15	0	0.028517110266159697
98844	tny	15	1	0	0	0	0	02/10/2009	02/10/2009	1	15	1	15
39688	Math1985	6	6	8	7	0	0	07/30/2011	09/08/2011	40	14	13	0.35
166129	BugBuster	0	0	14	4	0	0	09/22/2009	11/17/2009	56	14	4	0.25
207745	NE2	12	9	2	2	0	0	08/06/2010	08/07/2010	1	14	11	14
12837	flschm	0	0	0	0	14	0	09/05/2008	09/05/2008	1	14	0	14
316868	LexIgnatov	0	0	0	0	14	0	09/27/2010	06/24/2011	271	14	0	0.05166051660516605
127494	chilin	0	0	0	0	14	0	12/20/2009	06/07/2010	170	14	0	0.08235294117647059
12140	Dalkvist	11	0	3	0	0	0	03/11/2009	03/11/2009	1	14	0	14
159534	Peter-almere-nl	0	0	0	0	14	0	09/08/2010	01/08/2011	122	14	0	0.11475409836065574
185687	apollinaire	8	6	6	4	0	0	11/19/2010	05/26/2011	188	14	10	0.07446808510638298
46989	Michiel Faber	4	4	2	1	8	0	12/02/2010	06/05/2011	186	14	5	0.07526881720430108
79836	Hind	0	0	0	0	14	0	05/23/2009	07/29/2011	798	14	0	0.017543859649122806
44671	Thomas1950	1	0	0	0	13	0	03/01/2009	05/31/2009	91	14	0	0.15384615384615385
93505	Nolbelt San	10	2	3	1	0	0	08/06/2009	08/11/2009	6	13	3	2.1666666666666665
174420	ikz	0	0	0	0	13	0	10/13/2009	07/04/2011	630	13	0	0.020634920634920634
131	zool	13	5	0	0	0	0	11/01/2006	06/12/2007	223	13	5	0.05829596412556054
102316	nudge	11	5	2	0	0	0	03/31/2009	03/31/2009	1	13	5	13
92274	adjuva	4	4	9	7	0	0	01/17/2010	09/02/2011	594	13	11	0.021885521885521887
103957	Simonexxx83	0	0	0	0	13	0	06/04/2009	07/13/2009	39	13	0	0.3333333333333333
290487	DTeelde	0	0	0	0	13	0	09/19/2010	06/05/2011	260	13	0	0.05
34927	flohoff	0	0	0	0	13	0	06/14/2009	07/06/2009	23	13	0	0.5652173913043478
295994	natik	0	0	0	0	13	0	06/25/2010	03/04/2011	253	13	0	0.05138339920948617
254874	michelvd	11	10	2	0	0	0	03/31/2010	03/31/2010	1	13	10	13
